Key,LEA Code,School_Code,school name,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,,,,,,,
338-2013-14-All Students-Expulsions-External,1,338,Whittier EC,2013-14,All Students,Expulsions,0,52,External,362,,,,,,,
339-2013-14-All Students-Expulsions-External,1,339,J O Wilson ES,2013-14,All Students,Expulsions,0,10,External,433,,,,,,,
339-2013-14-All Students-Total Suspensions-External,1,339,J O Wilson ES,2013-14,All Students,Total Suspensions,8,2583,External,433,,,,,,,
339-2013-14-All Students-Expulsion Rate-External,1,339,J O Wilson ES,2013-14,All Students,Expulsion Rate,0,0.02,External,433,,,,,,,
344-2013-14-All Students-Total Suspensions-External,1,344,"King, M L ES",2013-14,All Students,Total Suspensions,71,2583,External,410,,,,,,,
344-2013-14-All Students-Expulsions-External,1,344,"King, M L ES",2013-14,All Students,Expulsions,0,10,External,410,,,,,,,
344-2013-14-All Students-Expulsion Rate-External,1,344,"King, M L ES",2013-14,All Students,Expulsion Rate,0,0.02,External,410,,,,,,,
346-2013-14-All Students-Total Suspensions-External,1,346,Brookland EC at Bunker Hill,2013-14,All Students,Total Suspensions,16,5964,External,249,,,,,,,
346-2013-14-All Students-Expulsion Rate-External,1,346,Brookland EC at Bunker Hill,2013-14,All Students,Expulsion Rate,0,0.09,External,249,,,,,,,
346-2013-14-All Students-Expulsions-External,1,346,Brookland EC at Bunker Hill,2013-14,All Students,Expulsions,0,52,External,249,,,,,,,
360-2013-14-All Students-Expulsions-External,1,360,Capitol Hill Montessori School at Logan,2013-14,All Students,Expulsions,0,18,External,288,,,,,,,
360-2013-14-All Students-Expulsion Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,All Students,Expulsion Rate,0,0.04,External,288,,,,,,,
360-2013-14-All Students-Total Suspensions-External,1,360,Capitol Hill Montessori School at Logan,2013-14,All Students,Total Suspensions,20,3627,External,288,,,,,,,
370-2013-14-All Students-Expulsion Rate-External,1,370,Langley EC,2013-14,All Students,Expulsion Rate,0,0.02,External,280,,,,,,,
370-2013-14-All Students-Total Suspensions-External,1,370,Langley EC,2013-14,All Students,Total Suspensions,135,2583,External,280,,,,,,,
370-2013-14-All Students-Expulsions-External,1,370,Langley EC,2013-14,All Students,Expulsions,0,10,External,280,,,,,,,
402-2013-14-All Students-Total Suspensions-External,1,402,Benjamin Banneker HS,2013-14,All Students,Total Suspensions,3,3199,External,430,,,,,,,
402-2013-14-All Students-Expulsion Rate-External,1,402,Benjamin Banneker HS,2013-14,All Students,Expulsion Rate,0,0.45,External,430,,,,,,,
402-2013-14-All Students-Expulsions-External,1,402,Benjamin Banneker HS,2013-14,All Students,Expulsions,0,78,External,430,,,,,,,
404-2013-14-All Students-Total Suspensions-External,1,404,Browne EC,2013-14,All Students,Total Suspensions,85,5964,External,349,,,,,,,
404-2013-14-All Students-Expulsions-External,1,404,Browne EC,2013-14,All Students,Expulsions,0,52,External,349,,,,,,,
404-2013-14-All Students-Expulsion Rate-External,1,404,Browne EC,2013-14,All Students,Expulsion Rate,0,0.09,External,349,,,,,,,
405-2013-14-All Students-Expulsion Rate-External,1,405,Deal MS,2013-14,All Students,Expulsion Rate,0,0.31,External,1248,,,,,,,
405-2013-14-All Students-Total Suspensions-External,1,405,Deal MS,2013-14,All Students,Total Suspensions,62,3381,External,1248,,,,,,,
405-2013-14-All Students-Expulsions-External,1,405,Deal MS,2013-14,All Students,Expulsions,0,42,External,1248,,,,,,,
407-2013-14-All Students-Expulsions-External,1,407,Eliot Hine MS,2013-14,All Students,Expulsions,0,42,External,292,,,,,,,
407-2013-14-All Students-Total Suspensions-External,1,407,Eliot Hine MS,2013-14,All Students,Total Suspensions,196,3381,External,292,,,,,,,
407-2013-14-All Students-Expulsion Rate-External,1,407,Eliot Hine MS,2013-14,All Students,Expulsion Rate,0,0.31,External,292,,,,,,,
409-2013-14-All Students-Total Suspensions-External,1,409,School Without Walls at Francis Stevens,2013-14,All Students,Total Suspensions,30,5964,External,284,,,,,,,
409-2013-14-All Students-Expulsion Rate-External,1,409,School Without Walls at Francis Stevens,2013-14,All Students,Expulsion Rate,0,0.09,External,284,,,,,,,
409-2013-14-All Students-Expulsions-External,1,409,School Without Walls at Francis Stevens,2013-14,All Students,Expulsions,0,52,External,284,,,,,,,
413-2013-14-All Students-Expulsion Rate-External,1,413,Hart MS,2013-14,All Students,Expulsion Rate,0.18,0.31,External,561,,,,,,,
413-2013-14-All Students-Expulsions-External,1,413,Hart MS,2013-14,All Students,Expulsions,1,42,External,561,,,,,,,
413-2013-14-All Students-Total Suspensions-External,1,413,Hart MS,2013-14,All Students,Total Suspensions,775,3381,External,561,,,,,,,
416-2013-14-All Students-Total Suspensions-External,1,416,Johnson  John Hayden MS,2013-14,All Students,Total Suspensions,423,3381,External,271,,,,,,,
416-2013-14-All Students-Expulsion Rate-External,1,416,Johnson  John Hayden MS,2013-14,All Students,Expulsion Rate,0,0.31,External,271,,,,,,,
416-2013-14-All Students-Expulsions-External,1,416,Johnson  John Hayden MS,2013-14,All Students,Expulsions,0,42,External,271,,,,,,,
417-2013-14-All Students-Expulsions-External,1,417,Kramer MS,2013-14,All Students,Expulsions,0,42,External,368,,,,,,,
417-2013-14-All Students-Total Suspensions-External,1,417,Kramer MS,2013-14,All Students,Total Suspensions,505,3381,External,368,,,,,,,
417-2013-14-All Students-Expulsion Rate-External,1,417,Kramer MS,2013-14,All Students,Expulsion Rate,0,0.31,External,368,,,,,,,
421-2013-14-All Students-Total Suspensions-External,1,421,Kelly Miller MS,2013-14,All Students,Total Suspensions,713,3381,External,513,,,,,,,
421-2013-14-All Students-Expulsion Rate-External,1,421,Kelly Miller MS,2013-14,All Students,Expulsion Rate,0,0.31,External,513,,,,,,,
421-2013-14-All Students-Expulsions-External,1,421,Kelly Miller MS,2013-14,All Students,Expulsions,0,42,External,513,,,,,,,
427-2013-14-All Students-Total Suspensions-External,1,427,Sousa MS,2013-14,All Students,Total Suspensions,128,3381,External,295,,,,,,,
427-2013-14-All Students-Expulsions-External,1,427,Sousa MS,2013-14,All Students,Expulsions,0,42,External,295,,,,,,,
427-2013-14-All Students-Expulsion Rate-External,1,427,Sousa MS,2013-14,All Students,Expulsion Rate,0,0.31,External,295,,,,,,,
428-2013-14-All Students-Expulsion Rate-External,1,428,Stuart Hobson MS (Capitol Hill Cluster),2013-14,All Students,Expulsion Rate,0,0.31,External,417,,,,,,,
428-2013-14-All Students-Expulsions-External,1,428,Stuart Hobson MS (Capitol Hill Cluster),2013-14,All Students,Expulsions,0,42,External,417,,,,,,,
428-2013-14-All Students-Total Suspensions-External,1,428,Stuart Hobson MS (Capitol Hill Cluster),2013-14,All Students,Total Suspensions,80,3381,External,417,,,,,,,
433-2013-14-All Students-Expulsion Rate-External,1,433,Jefferson Middle School Academy,2013-14,All Students,Expulsion Rate,0,0.31,External,299,,,,,,,
433-2013-14-All Students-Total Suspensions-External,1,433,Jefferson Middle School Academy,2013-14,All Students,Total Suspensions,247,3381,External,299,,,,,,,
433-2013-14-All Students-Expulsions-External,1,433,Jefferson Middle School Academy,2013-14,All Students,Expulsions,0,42,External,299,,,,,,,
435-2013-14-All Students-Expulsions-External,1,435,Mckinley Middle School,2013-14,All Students,Expulsions,0,42,External,193,,,,,,,
435-2013-14-All Students-Total Suspensions-External,1,435,Mckinley Middle School,2013-14,All Students,Total Suspensions,182,3381,External,193,,,,,,,
435-2013-14-All Students-Expulsion Rate-External,1,435,Mckinley Middle School,2013-14,All Students,Expulsion Rate,0,0.31,External,193,,,,,,,
442-2013-14-All Students-Expulsion Rate-External,1,442,Columbia Heights EC (CHEC),2013-14,All Students,Expulsion Rate,0,0.34,External,1266,,,,,,,
442-2013-14-All Students-Total Suspensions-External,1,442,Columbia Heights EC (CHEC),2013-14,All Students,Total Suspensions,197,6636,External,1266,,,,,,,
442-2013-14-All Students-Expulsions-External,1,442,Columbia Heights EC (CHEC),2013-14,All Students,Expulsions,0,123,External,1266,,,,,,,
450-2013-14-All Students-Expulsion Rate-External,1,450,Anacostia HS,2013-14,All Students,Expulsion Rate,0,0.36,External,751,,,,,,,
450-2013-14-All Students-Expulsions-External,1,450,Anacostia HS,2013-14,All Students,Expulsions,0,81,External,751,,,,,,,
450-2013-14-All Students-Total Suspensions-External,1,450,Anacostia HS,2013-14,All Students,Total Suspensions,560,3255,External,751,,,,,,,
452-2013-14-All Students-Expulsions-External,1,452,Ballou HS,2013-14,All Students,Expulsions,0,81,External,678,,,,,,,
452-2013-14-All Students-Total Suspensions-External,1,452,Ballou HS,2013-14,All Students,Total Suspensions,712,3255,External,678,,,,,,,
452-2013-14-All Students-Expulsion Rate-External,1,452,Ballou HS,2013-14,All Students,Expulsion Rate,0,0.36,External,678,,,,,,,
454-2013-14-All Students-Expulsion Rate-External,1,454,Cardozo EC,2013-14,All Students,Expulsion Rate,0,0.34,External,681,,,,,,,
454-2013-14-All Students-Expulsions-External,1,454,Cardozo EC,2013-14,All Students,Expulsions,0,123,External,681,,,,,,,
454-2013-14-All Students-Total Suspensions-External,1,454,Cardozo EC,2013-14,All Students,Total Suspensions,578,6636,External,681,,,,,,,
455-2013-14-All Students-Expulsion Rate-External,1,455,Coolidge HS,2013-14,All Students,Expulsion Rate,0,0.36,External,433,,,,,,,
455-2013-14-All Students-Total Suspensions-External,1,455,Coolidge HS,2013-14,All Students,Total Suspensions,136,3255,External,433,,,,,,,
455-2013-14-All Students-Expulsions-External,1,455,Coolidge HS,2013-14,All Students,Expulsions,0,81,External,433,,,,,,,
456-2013-14-All Students-Expulsions-External,1,456,Roosevelt STAY at MacFarland,2013-14,All Students,Expulsions,0,3,External,850,,,,,,,
456-2013-14-All Students-Expulsion Rate-External,1,456,Roosevelt STAY at MacFarland,2013-14,All Students,Expulsion Rate,0,0.06,External,850,,,,,,,
456-2013-14-All Students-Total Suspensions-External,1,456,Roosevelt STAY at MacFarland,2013-14,All Students,Total Suspensions,0,56,External,850,,,,,,,
457-2013-14-All Students-Expulsion Rate-External,1,457,Eastern HS,2013-14,All Students,Expulsion Rate,0,0.4,External,783,,,,,,,
457-2013-14-All Students-Expulsions-External,1,457,Eastern HS,2013-14,All Students,Expulsions,0,78,External,783,,,,,,,
457-2013-14-All Students-Total Suspensions-External,1,457,Eastern HS,2013-14,All Students,Total Suspensions,539,2940,External,783,,,,,,,
458-2013-14-All Students-Expulsion Rate-External,1,458,McKinley Technology HS,2013-14,All Students,Expulsion Rate,0,0.45,External,674,,,,,,,
458-2013-14-All Students-Total Suspensions-External,1,458,McKinley Technology HS,2013-14,All Students,Total Suspensions,59,3199,External,674,,,,,,,
458-2013-14-All Students-Expulsions-External,1,458,McKinley Technology HS,2013-14,All Students,Expulsions,0,78,External,674,,,,,,,
459-2013-14-All Students-Expulsions-External,1,459,Roosevelt HS at MacFarland,2013-14,All Students,Expulsions,0,81,External,438,,,,,,,
459-2013-14-All Students-Total Suspensions-External,1,459,Roosevelt HS at MacFarland,2013-14,All Students,Total Suspensions,280,3255,External,438,,,,,,,
459-2013-14-All Students-Expulsion Rate-External,1,459,Roosevelt HS at MacFarland,2013-14,All Students,Expulsion Rate,0,0.36,External,438,,,,,,,
462-2013-14-All Students-Expulsion Rate-External,1,462,Ballou STAY,2013-14,All Students,Expulsion Rate,0,0.4,External,578,,,,,,,
462-2013-14-All Students-Expulsions-External,1,462,Ballou STAY,2013-14,All Students,Expulsions,0,78,External,578,,,,,,,
462-2013-14-All Students-Total Suspensions-External,1,462,Ballou STAY,2013-14,All Students,Total Suspensions,44,2940,External,578,,,,,,,
463-2013-14-All Students-Total Suspensions-External,1,463,Wilson HS,2013-14,All Students,Total Suspensions,211,3255,External,1696,,,,,,,
463-2013-14-All Students-Expulsions-External,1,463,Wilson HS,2013-14,All Students,Expulsions,0,81,External,1696,,,,,,,
463-2013-14-All Students-Expulsion Rate-External,1,463,Wilson HS,2013-14,All Students,Expulsion Rate,0,0.36,External,1696,,,,,,,
464-2013-14-All Students-Total Suspensions-External,1,464,Woodson H D HS,2013-14,All Students,Total Suspensions,525,3255,External,762,,,,,,,
464-2013-14-All Students-Expulsions-External,1,464,Woodson H D HS,2013-14,All Students,Expulsions,0,81,External,762,,,,,,,
464-2013-14-All Students-Expulsion Rate-External,1,464,Woodson H D HS,2013-14,All Students,Expulsion Rate,0,0.36,External,762,,,,,,,
466-2013-14-All Students-Expulsion Rate-External,1,466,School Without Walls HS,2013-14,All Students,Expulsion Rate,0,0.36,External,585,,,,,,,
466-2013-14-All Students-Expulsions-External,1,466,School Without Walls HS,2013-14,All Students,Expulsions,0,81,External,585,,,,,,,
466-2013-14-All Students-Total Suspensions-External,1,466,School Without Walls HS,2013-14,All Students,Total Suspensions,4,3255,External,585,,,,,,,
467-2013-14-All Students-Expulsions-External,1,467,Dunbar HS,2013-14,All Students,Expulsions,0,81,External,628,,,,,,,
467-2013-14-All Students-Total Suspensions-External,1,467,Dunbar HS,2013-14,All Students,Total Suspensions,96,3255,External,628,,,,,,,
467-2013-14-All Students-Expulsion Rate-External,1,467,Dunbar HS,2013-14,All Students,Expulsion Rate,0,0.36,External,628,,,,,,,
471-2013-14-All Students-Expulsions-External,1,471,Ellington School of the Arts,2013-14,All Students,Expulsions,0,81,External,541,,,,,,,
471-2013-14-All Students-Total Suspensions-External,1,471,Ellington School of the Arts,2013-14,All Students,Total Suspensions,0,3255,External,541,,,,,,,
471-2013-14-All Students-Expulsion Rate-External,1,471,Ellington School of the Arts,2013-14,All Students,Expulsion Rate,0,0.36,External,541,,,,,,,
474-2013-14-All Students-Total Suspensions-External,1,474,Washington Metropolitan HS (formerly YEA),2013-14,All Students,Total Suspensions,172,3199,External,280,,,,,,,
474-2013-14-All Students-Expulsion Rate-External,1,474,Washington Metropolitan HS (formerly YEA),2013-14,All Students,Expulsion Rate,0,0.45,External,280,,,,,,,
474-2013-14-All Students-Expulsions-External,1,474,Washington Metropolitan HS (formerly YEA),2013-14,All Students,Expulsions,0,78,External,280,,,,,,,
478-2013-14-All Students-Expulsion Rate-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,All Students,Expulsion Rate,0,0.45,External,319,,,,,,,
478-2013-14-All Students-Expulsions-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,All Students,Expulsions,0,78,External,319,,,,,,,
478-2013-14-All Students-Total Suspensions-External,1,478,Phelps Architecture Construction and Engineering HS,2013-14,All Students,Total Suspensions,47,3199,External,319,,,,,,,
861-2013-14-All Students-Total Suspensions-External,1,861,Youth Services Center,2013-14,All Students,Total Suspensions,0,5592,External,89,,,,,,,
861-2013-14-All Students-Expulsions-External,1,861,Youth Services Center,2013-14,All Students,Expulsions,0,115,External,89,,,,,,,
861-2013-14-All Students-Expulsion Rate-External,1,861,Youth Services Center,2013-14,All Students,Expulsion Rate,0,0.36,External,89,,,,,,,
884-2013-14-All Students-Expulsions-External,1,884,Luke Moore Alternative HS,2013-14,All Students,Expulsions,0,78,External,364,,,,,,,
884-2013-14-All Students-Total Suspensions-External,1,884,Luke Moore Alternative HS,2013-14,All Students,Total Suspensions,67,3199,External,364,,,,,,,
884-2013-14-All Students-Expulsion Rate-External,1,884,Luke Moore Alternative HS,2013-14,All Students,Expulsion Rate,0,0.45,External,364,,,,,,,
943-2013-14-All Students-Total Suspensions-External,1,943,#N/A,2013-14,All Students,Total Suspensions,1,1080,External,205,,,,,,,
943-2013-14-All Students-Expulsions-External,1,943,#N/A,2013-14,All Students,Expulsions,0,3,External,205,,,,,,,
943-2013-14-All Students-Expulsion Rate-External,1,943,#N/A,2013-14,All Students,Expulsion Rate,0,0.01,External,205,,,,,,,
950-2013-14-All Students-Expulsions-External,1,950,Correctional Detention,2013-14,All Students,Expulsions,0,78,External,26,,,,,,,
950-2013-14-All Students-Total Suspensions-External,1,950,Correctional Detention,2013-14,All Students,Total Suspensions,0,3199,External,26,,,,,,,
950-2013-14-All Students-Expulsion Rate-External,1,950,Correctional Detention,2013-14,All Students,Expulsion Rate,0,0.45,External,26,,,,,,,
202-2013-14-All Students-In-Seat Attendance Rate-External,1,202,Aiton ES,2013-14,All Students,In-Seat Attendance Rate,92,93,External,320,,,,,,,
202-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,202,Aiton ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,92,92,External,319,,,,,,,
202-2013-14-Female-In-Seat Attendance Rate-External,1,202,Aiton ES,2013-14,Female,In-Seat Attendance Rate,93,93,External,142,,,,,,,
202-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,202,Aiton ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,93,93,External,295,,,,,,,
202-2013-14-Male-In-Seat Attendance Rate-External,1,202,Aiton ES,2013-14,Male,In-Seat Attendance Rate,92,93,External,178,,,,,,,
202-2013-14-Special Education-In-Seat Attendance Rate-External,1,202,Aiton ES,2013-14,Special Education,In-Seat Attendance Rate,94,92,External,32,,,,,,,
203-2013-14-All Students-In-Seat Attendance Rate-External,1,203,Amidon Bowen  ES,2013-14,All Students,In-Seat Attendance Rate,92,93,External,385,,,,,,,
203-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,203,Amidon Bowen  ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,92,92,External,348,,,,,,,
